Date,Gender,Age,Conducted,Passed,Pass rate (Percentage)
2010 to 2011,Total,43,"8,599","3,064",35.5
2010 to 2011,Total,44,"7,469","2,650",35.3
2010 to 2011,Total,45,"7,228","2,550",35.2
2010 to 2011,Total,46,"6,238","2,187",34.9
2010 to 2011,Total,47,"5,454","1,929",35.3
2010 to 2011,Total,48,"4,722","1,593",33.6
2010 to 2011,Total,49,"4,280","1,426",33.2
2010 to 2011,Total,50,"3,827","1,253",32.6
2010 to 2011,Total,51,"3,075","1,068",34.6
2010 to 2011,Total,52,"2,676",906,33.7
2010 to 2011,Total,53,"2,343",821,35.0
2010 to 2011,Total,54,"2,016",635,31.4
2010 to 2011,Total,55,"1,650",577,34.8
2010 to 2011,Total,56,"1,517",512,33.6
2010 to 2011,Total,57,"1,281",407,31.7
2010 to 2011,Total,58,"1,044",348,33.3
2010 to 2011,Total,59,917,296,32.2
2010 to 2011,Total,60,783,277,35.4
2010 to 2011,Total,61 and over,"4,223","1,359",32.2
2010 to 2011,Total,Total,"1,605,599","744,056",46.2
2010 to 2011,Total,Unknown,220,89,40.1
2011 to 2012,Female,16,50,29,58.0
2011 to 2012,Female,17,"153,917","83,860",54.5
2011 to 2012,Female,18,"118,138","56,109",47.5
2011 to 2012,Female,19,"65,097","29,389",45.1
2011 to 2012,Female,20,"45,239","20,017",44.2
2011 to 2012,Female,21,"37,529","16,706",44.5
2011 to 2012,Female,22,"33,323","14,981",45.0
2011 to 2012,Female,23,"30,514","13,402",43.9
2011 to 2012,Female,24,"27,558","12,027",43.6
2011 to 2012,Female,25,"26,342","11,190",42.5
2011 to 2012,Female,26,"24,465","10,311",42.1
2011 to 2012,Female,27,"23,210","9,368",40.4
2011 to 2012,Female,28,"22,118","8,797",39.8
2011 to 2012,Female,29,"21,350","8,355",39.1
2011 to 2012,Female,30,"20,098","7,643",38.0
2011 to 2012,Female,31,"18,997","7,019",36.9
2011 to 2012,Female,32,"17,417","6,262",36.0
2011 to 2012,Female,33,"15,681","5,483",35.0
2011 to 2012,Female,34,"13,540","4,749",35.1
2011 to 2012,Female,35,"12,560","4,245",33.8
2011 to 2012,Female,36,"11,691","3,889",33.3
2011 to 2012,Female,37,"10,153","3,377",33.3
2011 to 2012,Female,38,"9,103","2,951",32.4
2011 to 2012,Female,39,"8,250","2,723",33.0
2011 to 2012,Female,40,"7,304","2,367",32.4
2011 to 2012,Female,41,"7,003","2,199",31.4
2011 to 2012,Female,42,"5,711","1,837",32.2
2011 to 2012,Female,43,"5,024","1,564",31.1
2011 to 2012,Female,44,"4,340","1,393",32.1
2011 to 2012,Female,45,"3,903","1,233",31.6
2011 to 2012,Female,46,"3,470","1,111",32.0
2011 to 2012,Female,47,"3,058",958,31.3
2011 to 2012,Female,48,"2,845",941,33.1
2011 to 2012,Female,49,"2,437",726,29.8
2011 to 2012,Female,50,"2,032",607,29.9
2011 to 2012,Female,51,"2,003",630,31.5
2011 to 2012,Female,52,"1,630",477,29.3
2011 to 2012,Female,53,"1,423",413,29.0
2011 to 2012,Female,54,"1,215",361,29.7
2011 to 2012,Female,55,"1,048",306,29.2
2011 to 2012,Female,56,920,282,30.7
2011 to 2012,Female,57,798,231,28.9
2011 to 2012,Female,58,719,200,27.8
2011 to 2012,Female,59,532,146,27.4
2011 to 2012,Female,60,437,127,29.1
2011 to 2012,Female,61 and over,"2,391",647,27.1
2011 to 2012,Female,Total,"826,734","361,685",43.7
2011 to 2012,Female,Unknown,151,47,31.1
2011 to 2012,Male,16,92,47,51.1
2011 to 2012,Male,17,"165,237","95,010",57.5
2011 to 2012,Male,18,"105,709","53,648",50.8
2011 to 2012,Male,19,"55,485","27,642",49.8
2011 to 2012,Male,20,"37,548","18,815",50.1
2011 to 2012,Male,21,"31,970","16,180",50.6
2011 to 2012,Male,22,"28,410","14,385",50.6
2011 to 2012,Male,23,"26,690","13,602",51.0
2011 to 2012,Male,24,"24,427","12,205",50.0
2011 to 2012,Male,25,"23,547","11,821",50.2
2011 to 2012,Male,26,"22,334","10,979",49.2
2011 to 2012,Male,27,"20,800","10,106",48.6
2011 to 2012,Male,28,"20,167","9,611",47.7
2011 to 2012,Male,29,"19,109","9,072",47.5
2011 to 2012,Male,30,"18,128","8,492",46.8
2011 to 2012,Male,31,"17,174","7,915",46.1
2011 to 2012,Male,32,"14,882","6,686",44.9
2011 to 2012,Male,33,"13,132","5,841",44.5
2011 to 2012,Male,34,"11,578","5,071",43.8
2011 to 2012,Male,35,"10,709","4,602",43.0
2011 to 2012,Male,36,"9,620","4,129",42.9
2011 to 2012,Male,37,"8,474","3,506",41.4
2011 to 2012,Male,38,"7,510","3,118",41.5
2011 to 2012,Male,39,"6,754","2,865",42.4
2011 to 2012,Male,40,"5,845","2,428",41.5
2011 to 2012,Male,41,"5,828","2,303",39.5
2011 to 2012,Male,42,"4,662","1,921",41.2
2011 to 2012,Male,43,"4,187","1,700",40.6
2011 to 2012,Male,44,"3,497","1,465",41.9
2011 to 2012,Male,45,"3,078","1,242",40.4
2011 to 2012,Male,46,"2,944","1,167",39.6
2011 to 2012,Male,47,"2,380",959,40.3
2011 to 2012,Male,48,"2,166",858,39.6
2011 to 2012,Male,49,"1,942",757,39.0
2011 to 2012,Male,50,"1,622",635,39.1
2011 to 2012,Male,51,"1,525",559,36.7
2011 to 2012,Male,52,"1,232",496,40.3
2011 to 2012,Male,53,"1,057",425,40.2
2011 to 2012,Male,54,902,317,35.1
2011 to 2012,Male,55,791,281,35.5
2011 to 2012,Male,56,670,234,34.9
2011 to 2012,Male,57,591,213,36.0
2011 to 2012,Male,58,461,172,37.3
2011 to 2012,Male,59,407,156,38.3
2011 to 2012,Male,60,265,118,44.5
2011 to 2012,Male,61 and over,"1,681",676,40.2
2011 to 2012,Male,Total,"747,309","374,472",50.1
2011 to 2012,Male,Unknown,90,42,46.7
2011 to 2012,Total,16,142,76,53.5
2011 to 2012,Total,17,"317,939","178,870",56.0
2011 to 2012,Total,18,"223,214","109,757",49.0
2011 to 2012,Total,19,"120,312","57,031",47.3
2011 to 2012,Total,20,"82,591","38,832",46.9
2011 to 2012,Total,21,"69,375","32,886",47.3
2011 to 2012,Total,22,"61,625","29,366",47.6
2011 to 2012,Total,23,"57,102","27,004",47.2
2011 to 2012,Total,24,"51,903","24,232",46.6
2011 to 2012,Total,25,"49,792","23,011",46.1
2011 to 2012,Total,26,"46,658","21,290",45.5
2011 to 2012,Total,27,"43,880","19,474",44.2
2011 to 2012,Total,28,"42,149","18,408",43.5
2011 to 2012,Total,29,"40,304","17,427",43.1
2011 to 2012,Total,30,"38,086","16,135",42.2
2011 to 2012,Total,31,"36,049","14,934",41.3
2011 to 2012,Total,32,"32,152","12,948",40.1
2011 to 2012,Total,33,"28,676","11,324",39.3
2011 to 2012,Total,34,"25,036","9,820",39.1
2011 to 2012,Total,35,"23,149","8,847",38.0
2011 to 2012,Total,36,"21,217","8,018",37.6
2011 to 2012,Total,37,"18,540","6,883",37.0
2011 to 2012,Total,38,"16,547","6,069",36.5
2011 to 2012,Total,39,"14,937","5,588",37.2
2011 to 2012,Total,40,"13,097","4,795",36.5
2011 to 2012,Total,41,"12,776","4,502",35.1
2011 to 2012,Total,42,"10,330","3,758",36.2
2011 to 2012,Total,43,"9,146","3,264",35.4
2011 to 2012,Total,44,"7,799","2,858",36.5
2011 to 2012,Total,45,"6,932","2,475",35.5
2011 to 2012,Total,46,"6,378","2,278",35.5
2011 to 2012,Total,47,"5,414","1,917",35.3
2011 to 2012,Total,48,"4,990","1,799",35.9
2011 to 2012,Total,49,"4,357","1,483",33.9
2011 to 2012,Total,50,"3,635","1,242",34.0
2011 to 2012,Total,51,"3,511","1,189",33.7
2011 to 2012,Total,52,"2,849",973,34.0
2011 to 2012,Total,53,"2,469",838,33.8
2011 to 2012,Total,54,"2,113",678,32.0
2011 to 2012,Total,55,"1,827",587,31.9
2011 to 2012,Total,56,"1,584",516,32.5
2011 to 2012,Total,57,"1,384",444,32.0
2011 to 2012,Total,58,"1,177",372,31.5
2011 to 2012,Total,59,934,302,32.2
2011 to 2012,Total,60,697,245,34.9
2011 to 2012,Total,61 and over,"4,059","1,323",32.6
2011 to 2012,Total,Total,"1,569,072","736,157",46.8
2011 to 2012,Total,Unknown,239,89,36.9
2012 to 2013,Female,16,44,25,56.8
2012 to 2013,Female,17,"134,953","74,105",54.9
2012 to 2013,Female,18,"106,076","50,637",47.7
2012 to 2013,Female,19,"58,331","26,462",45.4
2012 to 2013,Female,20,"41,317","18,358",44.4
2012 to 2013,Female,21,"35,179","15,981",45.4
2012 to 2013,Female,22,"31,280","14,272",45.6
2012 to 2013,Female,23,"27,716","12,491",45.1
2012 to 2013,Female,24,"25,439","11,236",44.2
2012 to 2013,Female,25,"24,353","10,379",42.6
2012 to 2013,Female,26,"22,756","9,536",41.9
2012 to 2013,Female,27,"21,496","8,951",41.6
2012 to 2013,Female,28,"20,634","8,216",39.8
2012 to 2013,Female,29,"19,187","7,466",38.9
2012 to 2013,Female,30,"18,934","7,198",38.0
2012 to 2013,Female,31,"17,519","6,727",38.4
2012 to 2013,Female,32,"16,604","6,044",36.4
2012 to 2013,Female,33,"15,198","5,340",35.1
2012 to 2013,Female,34,"13,296","4,532",34.1
2012 to 2013,Female,35,"12,048","4,181",34.7
2012 to 2013,Female,36,"10,697","3,624",33.9
2012 to 2013,Female,37,"9,558","3,129",32.7
2012 to 2013,Female,38,"8,652","2,820",32.6
2012 to 2013,Female,39,"7,599","2,522",33.2
2012 to 2013,Female,40,"6,918","2,280",33.0
2012 to 2013,Female,41,"5,932","1,922",32.4
2012 to 2013,Female,42,"5,456","1,742",31.9
2012 to 2013,Female,43,"4,574","1,461",31.9
2012 to 2013,Female,44,"4,192","1,377",32.8
2012 to 2013,Female,45,"3,580","1,109",31.0
2012 to 2013,Female,46,"3,049",988,32.4
2012 to 2013,Female,47,"2,833",909,32.1
2012 to 2013,Female,48,"2,465",766,31.1
2012 to 2013,Female,49,"2,286",698,30.5
2012 to 2013,Female,50,"1,929",618,32.0
2012 to 2013,Female,51,"1,626",500,30.8
2012 to 2013,Female,52,"1,572",493,31.4
2012 to 2013,Female,53,"1,303",388,29.8
2012 to 2013,Female,54,"1,144",360,31.5
2012 to 2013,Female,55,947,288,30.4
2012 to 2013,Female,56,825,270,32.7
2012 to 2013,Female,57,654,206,31.5
2012 to 2013,Female,58,620,175,28.2
2012 to 2013,Female,59,477,148,31.0
2012 to 2013,Female,60,373,93,24.9
2012 to 2013,Female,61 and over,"2,015",576,28.6
2012 to 2013,Female,Total,"753,774","331,653",44.0
2012 to 2013,Female,Unknown,138,54,39.1
2012 to 2013,Male,16,84,51,60.7
2012 to 2013,Male,17,"144,972","83,967",57.9
2012 to 2013,Male,18,"96,828","49,862",51.5
2012 to 2013,Male,19,"51,707","25,926",50.1
2012 to 2013,Male,20,"35,535","18,044",50.8
2012 to 2013,Male,21,"30,797","15,894",51.6
2012 to 2013,Male,22,"27,173","14,083",51.8
2012 to 2013,Male,23,"24,495","12,568",51.3
2012 to 2013,Male,24,"22,832","11,571",50.7
2012 to 2013,Male,25,"21,595","10,837",50.2
2012 to 2013,Male,26,"20,553","10,313",50.2
2012 to 2013,Male,27,"19,276","9,428",48.9
2012 to 2013,Male,28,"17,988","8,687",48.3
2012 to 2013,Male,29,"17,467","8,288",47.4
2012 to 2013,Male,30,"16,701","7,788",46.6
2012 to 2013,Male,31,"15,236","7,086",46.5
2012 to 2013,Male,32,"14,050","6,394",45.5
2012 to 2013,Male,33,"12,727","5,632",44.3
2012 to 2013,Male,34,"10,747","4,831",45.0
2012 to 2013,Male,35,"9,375","4,094",43.7
2012 to 2013,Male,36,"8,742","3,777",43.2
2012 to 2013,Male,37,"7,796","3,193",41.0
2012 to 2013,Male,38,"6,947","2,936",42.3
2012 to 2013,Male,39,"6,124","2,586",42.2
2012 to 2013,Male,40,"5,310","2,273",42.8
2012 to 2013,Male,41,"4,861","1,987",40.9
2012 to 2013,Male,42,"4,355","1,801",41.4
2012 to 2013,Male,43,"3,806","1,597",42.0
2012 to 2013,Male,44,"3,304","1,388",42.0
2012 to 2013,Male,45,"2,740","1,152",42.0
2012 to 2013,Male,46,"2,589","1,060",40.9
2012 to 2013,Male,47,"2,142",924,43.1
2012 to 2013,Male,48,"1,931",790,40.9
2012 to 2013,Male,49,"1,872",737,39.4
2012 to 2013,Male,50,"1,469",600,40.8
2012 to 2013,Male,51,"1,299",521,40.1
2012 to 2013,Male,52,"1,168",476,40.8
2012 to 2013,Male,53,919,361,39.3
2012 to 2013,Male,54,831,321,38.6
2012 to 2013,Male,55,719,275,38.2
2012 to 2013,Male,56,637,243,38.1
2012 to 2013,Male,57,495,200,40.4
2012 to 2013,Male,58,438,159,36.3
2012 to 2013,Male,59,309,154,49.8
2012 to 2013,Male,60,258,92,35.7
2012 to 2013,Male,61 and over,"1,435",625,43.6
2012 to 2013,Male,Total,"682,699","345,599",50.6
2012 to 2013,Male,Unknown,65,27,41.5
2012 to 2013,Total,16,128,76,59.4
2012 to 2013,Total,17,"279,925","158,072",56.5
2012 to 2013,Total,18,"202,904","100,499",49.5
2012 to 2013,Total,19,"110,038","52,388",47.6
2012 to 2013,Total,20,"76,852","36,402",47.4
2012 to 2013,Total,21,"65,976","31,875",48.3
2012 to 2013,Total,22,"58,453","28,355",48.5
2012 to 2013,Total,23,"52,211","25,059",48.0
2012 to 2013,Total,24,"48,271","22,807",47.2
2012 to 2013,Total,25,"45,948","21,216",46.2
2012 to 2013,Total,26,"43,309","19,849",45.8
2012 to 2013,Total,27,"40,772","18,379",45.1
2012 to 2013,Total,28,"38,622","16,903",43.8
2012 to 2013,Total,29,"36,654","15,754",43.0
2012 to 2013,Total,30,"35,635","14,986",42.1
2012 to 2013,Total,31,"32,755","13,813",42.2
2012 to 2013,Total,32,"30,654","12,438",40.6
2012 to 2013,Total,33,"27,925","10,972",39.3
2012 to 2013,Total,34,"24,043","9,363",38.9
2012 to 2013,Total,35,"21,423","8,275",38.6
2012 to 2013,Total,36,"19,439","7,401",38.1
2012 to 2013,Total,37,"17,354","6,322",36.4
2012 to 2013,Total,38,"15,599","5,756",36.9
2012 to 2013,Total,39,"13,723","5,108",37.2
2012 to 2013,Total,40,"12,230","4,553",37.2
2012 to 2013,Total,41,"10,793","3,909",36.2
2012 to 2013,Total,42,"9,811","3,543",36.1
2012 to 2013,Total,43,"8,380","3,058",36.5
2012 to 2013,Total,44,"7,496","2,765",36.9
2012 to 2013,Total,45,"6,320","2,261",35.8
2012 to 2013,Total,46,"5,638","2,048",36.3
2012 to 2013,Total,47,"4,975","1,833",36.8
2012 to 2013,Total,48,"4,396","1,556",35.4
2012 to 2013,Total,49,"4,158","1,435",34.5
2012 to 2013,Total,50,"3,398","1,218",35.8
2012 to 2013,Total,51,"2,925","1,021",34.9
2012 to 2013,Total,52,"2,740",969,35.4
2012 to 2013,Total,53,"2,222",749,33.7
2012 to 2013,Total,54,"1,975",681,34.5
2012 to 2013,Total,55,"1,666",563,33.8
2012 to 2013,Total,56,"1,462",513,35.1
2012 to 2013,Total,57,"1,149",406,35.3
2012 to 2013,Total,58,"1,058",334,31.6
2012 to 2013,Total,59,786,302,38.4
2012 to 2013,Total,60,631,185,29.3
2012 to 2013,Total,61 and over,"3,450","1,201",34.8
2012 to 2013,Total,Total,"1,436,481","677,255",47.1
2012 to 2013,Total,Unknown,209,84,40.2
2013 to 2014,Female,16,42,24,57.1
2013 to 2014,Female,17,"129,027","71,041",55.1
2013 to 2014,Female,18,"107,891","51,961",48.2
2013 to 2014,Female,19,"61,539","27,918",45.4
2013 to 2014,Female,20,"43,086","19,242",44.7
2013 to 2014,Female,21,"37,447","16,754",44.7
2013 to 2014,Female,22,"33,696","15,244",45.2
2013 to 2014,Female,23,"29,868","13,269",44.4
2013 to 2014,Female,24,"25,976","11,443",44.1
2013 to 2014,Female,25,"24,858","10,562",42.5
2013 to 2014,Female,26,"23,770","9,911",41.7
2013 to 2014,Female,27,"22,349","9,156",41.0
2013 to 2014,Female,28,"20,981","8,394",40.0
2013 to 2014,Female,29,"20,022","7,847",39.2
2013 to 2014,Female,30,"19,624","7,338",37.4
2013 to 2014,Female,31,"18,379","6,882",37.4
2013 to 2014,Female,32,"16,650","6,129",36.8
2013 to 2014,Female,33,"15,948","5,623",35.3
2013 to 2014,Female,34,"14,504","5,023",34.6
2013 to 2014,Female,35,"12,316","4,180",33.9
2013 to 2014,Female,36,"10,889","3,669",33.7
2013 to 2014,Female,37,"9,665","3,236",33.5
2013 to 2014,Female,38,"8,983","2,820",31.4
2013 to 2014,Female,39,"7,946","2,582",32.5
2013 to 2014,Female,40,"6,902","2,194",31.8
2013 to 2014,Female,41,"5,842","1,900",32.5
2013 to 2014,Female,42,"5,358","1,713",32.0
2013 to 2014,Female,43,"5,032","1,542",30.6
2013 to 2014,Female,44,"4,201","1,347",32.1
2013 to 2014,Female,45,"3,759","1,193",31.7
2013 to 2014,Female,46,"3,195",953,29.8
2013 to 2014,Female,47,"2,940",873,29.7
2013 to 2014,Female,48,"2,606",784,30.1
2013 to 2014,Female,49,"2,180",636,29.2
2013 to 2014,Female,50,"1,983",632,31.9
2013 to 2014,Female,51,"1,621",524,32.3
2013 to 2014,Female,52,"1,469",433,29.5
2013 to 2014,Female,53,"1,374",407,29.6
2013 to 2014,Female,54,"1,113",316,28.4
2013 to 2014,Female,55,960,279,29.1
2013 to 2014,Female,56,879,250,28.4
2013 to 2014,Female,57,641,205,32.0
2013 to 2014,Female,58,516,161,31.2
2013 to 2014,Female,59,480,147,30.6
2013 to 2014,Female,60,351,109,31.1
2013 to 2014,Female,61 and over,"1,925",570,29.6
2013 to 2014,Female,Total,"770,823","337,436",43.8
2013 to 2014,Female,Unknown,40,20,50.0
2013 to 2014,Male,16,89,51,57.3
2013 to 2014,Male,17,"144,252","83,734",58.0
2013 to 2014,Male,18,"102,346","53,068",51.9
2013 to 2014,Male,19,"56,993","29,147",51.1
2013 to 2014,Male,20,"38,618","19,385",50.2
2013 to 2014,Male,21,"33,332","17,291",51.9
2013 to 2014,Male,22,"29,571","15,100",51.1
2013 to 2014,Male,23,"26,074","13,246",50.8
2013 to 2014,Male,24,"23,319","11,886",51.0
2013 to 2014,Male,25,"22,273","11,139",50.0
2013 to 2014,Male,26,"20,534","10,175",49.6
2013 to 2014,Male,27,"19,341","9,451",48.9
2013 to 2014,Male,28,"18,189","8,810",48.4
2013 to 2014,Male,29,"16,961","7,996",47.1
2013 to 2014,Male,30,"16,599","7,731",46.6
2013 to 2014,Male,31,"15,705","7,236",46.1
2013 to 2014,Male,32,"14,166","6,586",46.5
2013 to 2014,Male,33,"13,163","5,964",45.3
2013 to 2014,Male,34,"11,895","5,266",44.3
2013 to 2014,Male,35,"9,633","4,238",44.0
2013 to 2014,Male,36,"8,767","3,762",42.9
2013 to 2014,Male,37,"8,002","3,364",42.0
2013 to 2014,Male,38,"7,299","3,029",41.5
2013 to 2014,Male,39,"6,238","2,624",42.1
2013 to 2014,Male,40,"5,568","2,356",42.3
2013 to 2014,Male,41,"4,749","2,003",42.2
2013 to 2014,Male,42,"4,299","1,740",40.5
2013 to 2014,Male,43,"3,975","1,573",39.6
2013 to 2014,Male,44,"3,509","1,421",40.5
2013 to 2014,Male,45,"3,022","1,240",41.0
2013 to 2014,Male,46,"2,508","1,000",39.9
2013 to 2014,Male,47,"2,129",904,42.5
2013 to 2014,Male,48,"1,883",802,42.6
2013 to 2014,Male,49,"1,610",677,42.0
2013 to 2014,Male,50,"1,497",613,40.9
2013 to 2014,Male,51,"1,390",531,38.2
2013 to 2014,Male,52,"1,111",445,40.1
2013 to 2014,Male,53,999,399,39.9
2013 to 2014,Male,54,808,314,38.9
2013 to 2014,Male,55,768,298,38.8
2013 to 2014,Male,56,540,233,43.1
2013 to 2014,Male,57,485,191,39.4
2013 to 2014,Male,58,412,178,43.2
2013 to 2014,Male,59,349,144,41.3
2013 to 2014,Male,60,242,114,47.1
2013 to 2014,Male,61 and over,"1,511",672,44.5
2013 to 2014,Male,Total,"706,757","358,143",50.7
2013 to 2014,Male,Unknown,34,16,47.1
2013 to 2014,Total,16,131,75,57.3
2013 to 2014,Total,17,"273,279","154,775",56.6
2013 to 2014,Total,18,"210,237","105,029",50.0
2013 to 2014,Total,19,"118,532","57,065",48.1
2013 to 2014,Total,20,"81,704","38,627",47.3
2013 to 2014,Total,21,"70,779","34,045",48.1
2013 to 2014,Total,22,"63,267","30,344",48.0
2013 to 2014,Total,23,"55,942","26,515",47.4
2013 to 2014,Total,24,"49,296","23,329",47.3
2013 to 2014,Total,25,"47,131","21,701",46.0
2013 to 2014,Total,26,"44,304","20,086",45.3
2013 to 2014,Total,27,"41,690","18,607",44.6
2013 to 2014,Total,28,"39,170","17,204",43.9
2013 to 2014,Total,29,"36,983","15,843",42.8
2013 to 2014,Total,30,"36,223","15,069",41.6
2013 to 2014,Total,31,"34,084","14,118",41.4
2013 to 2014,Total,32,"30,816","12,715",41.3
2013 to 2014,Total,33,"29,111","11,587",39.8
2013 to 2014,Total,34,"26,399","10,289",39.0
2013 to 2014,Total,35,"21,949","8,418",38.4
2013 to 2014,Total,36,"19,656","7,431",37.8
2013 to 2014,Total,37,"17,667","6,600",37.4
2013 to 2014,Total,38,"16,282","5,849",35.9
2013 to 2014,Total,39,"14,184","5,206",36.7
2013 to 2014,Total,40,"12,470","4,550",36.5
2013 to 2014,Total,41,"10,591","3,903",36.9
2013 to 2014,Total,42,"9,657","3,453",35.8
2013 to 2014,Total,43,"9,007","3,115",34.6
2013 to 2014,Total,44,"7,710","2,768",35.9
2013 to 2014,Total,45,"6,781","2,433",35.9
2013 to 2014,Total,46,"5,703","1,953",34.2
2013 to 2014,Total,47,"5,069","1,777",35.1
2013 to 2014,Total,48,"4,489","1,586",35.3
2013 to 2014,Total,49,"3,790","1,313",34.6
2013 to 2014,Total,50,"3,480","1,245",35.8
2013 to 2014,Total,51,"3,011","1,055",35.0
2013 to 2014,Total,52,"2,580",878,34.0
2013 to 2014,Total,53,"2,373",806,34.0
2013 to 2014,Total,54,"1,921",630,32.8
2013 to 2014,Total,55,"1,728",577,33.4
2013 to 2014,Total,56,"1,419",483,34.0
2013 to 2014,Total,57,"1,126",396,35.2
2013 to 2014,Total,58,928,339,36.5
2013 to 2014,Total,59,829,291,35.1
2013 to 2014,Total,60,593,223,37.6
2013 to 2014,Total,61 and over,"3,436","1,242",36.1
2013 to 2014,Total,Total,"1,477,585","695,580",47.1
2013 to 2014,Total,Unknown,78,37,47.4
2014 to 2015,Female,16,41,25,61.0
2014 to 2015,Female,17,"132,258","71,870",54.3
2014 to 2015,Female,18,"111,377","53,100",47.7
2014 to 2015,Female,19,"63,233","28,550",45.2
2014 to 2015,Female,20,"45,635","20,240",44.4
2014 to 2015,Female,21,"39,463","17,765",45.0
2014 to 2015,Female,22,"36,057","16,254",45.1
2014 to 2015,Female,23,"32,009","14,210",44.4
2014 to 2015,Female,24,"28,037","12,304",43.9
2014 to 2015,Female,25,"25,433","10,972",43.1
2014 to 2015,Female,26,"24,504","10,198",41.6
2014 to 2015,Female,27,"22,706","9,215",40.6
2014 to 2015,Female,28,"21,695","8,513",39.2
2014 to 2015,Female,29,"20,561","8,119",39.5
2014 to 2015,Female,30,"20,003","7,521",37.6
2014 to 2015,Female,31,"19,045","7,099",37.3
2014 to 2015,Female,32,"17,875","6,419",35.9
2014 to 2015,Female,33,"16,248","5,860",36.1
2014 to 2015,Female,34,"15,068","5,301",35.2
2014 to 2015,Female,35,"13,513","4,604",34.1
2014 to 2015,Female,36,"11,549","3,866",33.5
2014 to 2015,Female,37,"9,953","3,348",33.6
2014 to 2015,Female,38,"9,154","2,972",32.5
2014 to 2015,Female,39,"8,225","2,667",32.4
2014 to 2015,Female,40,"7,000","2,259",32.3
2014 to 2015,Female,41,"6,043","1,916",31.7
2014 to 2015,Female,42,"5,617","1,756",31.3
2014 to 2015,Female,43,"4,784","1,481",31.0
2014 to 2015,Female,44,"4,389","1,383",31.5
2014 to 2015,Female,45,"3,699","1,159",31.3
2014 to 2015,Female,46,"3,302","1,031",31.2
2014 to 2015,Female,47,"2,852",864,30.3
2014 to 2015,Female,48,"2,424",750,30.9
2014 to 2015,Female,49,"2,291",730,31.9
2014 to 2015,Female,50,"2,056",625,30.4
2014 to 2015,Female,51,"1,703",532,31.2
2014 to 2015,Female,52,"1,473",462,31.4
2014 to 2015,Female,53,"1,276",386,30.3
2014 to 2015,Female,54,"1,056",341,32.3
2014 to 2015,Female,55,971,293,30.2
2014 to 2015,Female,56,817,243,29.7
2014 to 2015,Female,57,666,212,31.8
2014 to 2015,Female,58,611,188,30.8
2014 to 2015,Female,59,448,124,27.7
2014 to 2015,Female,60,434,124,28.6
2014 to 2015,Female,61 and over,"1,781",511,28.7
2014 to 2015,Female,Total,"799,341","348,367",43.6
2014 to 2015,Female,Unknown,6,5,83.3
2014 to 2015,Male,16,58,40,69.0
2014 to 2015,Male,17,"146,010","84,429",57.8
2014 to 2015,Male,18,"106,770","54,739",51.3
2014 to 2015,Male,19,"60,212","30,238",50.2
2014 to 2015,Male,20,"42,627","21,595",50.7
2014 to 2015,Male,21,"36,987","18,754",50.7
2014 to 2015,Male,22,"32,831","16,873",51.4
2014 to 2015,Male,23,"28,160","14,448",51.3
2014 to 2015,Male,24,"24,944","12,654",50.7
2014 to 2015,Male,25,"22,538","11,376",50.5
2014 to 2015,Male,26,"21,045","10,503",49.9
2014 to 2015,Male,27,"19,628","9,603",48.9
2014 to 2015,Male,28,"18,312","8,810",48.1
2014 to 2015,Male,29,"17,495","8,253",47.2
2014 to 2015,Male,30,"16,683","7,727",46.3
2014 to 2015,Male,31,"15,446","7,109",46.0
2014 to 2015,Male,32,"14,409","6,599",45.8
2014 to 2015,Male,33,"13,044","5,949",45.6
2014 to 2015,Male,34,"12,284","5,361",43.6
2014 to 2015,Male,35,"10,474","4,690",44.8
2014 to 2015,Male,36,"8,705","3,793",43.6
2014 to 2015,Male,37,"7,990","3,400",42.6
2014 to 2015,Male,38,"6,959","2,905",41.7
2014 to 2015,Male,39,"6,240","2,544",40.8
2014 to 2015,Male,40,"5,473","2,273",41.5
2014 to 2015,Male,41,"4,714","1,969",41.8
2014 to 2015,Male,42,"4,385","1,777",40.5
2014 to 2015,Male,43,"3,714","1,571",42.3
2014 to 2015,Male,44,"3,460","1,427",41.2
2014 to 2015,Male,45,"2,978","1,231",41.3
2014 to 2015,Male,46,"2,577","1,060",41.1
2014 to 2015,Male,47,"2,213",925,41.8
2014 to 2015,Male,48,"1,937",816,42.1
2014 to 2015,Male,49,"1,675",697,41.6
2014 to 2015,Male,50,"1,400",604,43.1
2014 to 2015,Male,51,"1,301",561,43.1
2014 to 2015,Male,52,"1,080",413,38.2
2014 to 2015,Male,53,993,417,42.0
2014 to 2015,Male,54,852,355,41.7
2014 to 2015,Male,55,754,280,37.1
2014 to 2015,Male,56,630,248,39.4
2014 to 2015,Male,57,493,199,40.4
2014 to 2015,Male,58,424,173,40.8
2014 to 2015,Male,59,361,142,39.3
2014 to 2015,Male,60,281,114,40.6
2014 to 2015,Male,61 and over,"1,606",695,43.3
2014 to 2015,Male,Total,"733,161","370,343",50.5
2014 to 2015,Male,Unknown,9,4,44.4
2014 to 2015,Total,16,99,65,65.7
2014 to 2015,Total,17,"278,268","156,299",56.2
2014 to 2015,Total,18,"218,147","107,839",49.4
2014 to 2015,Total,19,"123,445","58,788",47.6
2014 to 2015,Total,20,"88,262","41,835",47.4
2014 to 2015,Total,21,"76,450","36,519",47.8
2014 to 2015,Total,22,"68,888","33,127",48.1
2014 to 2015,Total,23,"60,169","28,658",47.6
